% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.255	1	13	26	6	87	28	549	0	0	1
0.256	1	12	26	7	59	28	549	0	0	0
0.256	1	12	26	7	59	28	549	0	0	1
0.257	1	6	26	8	20	28	549	0	0	0
0.257	1	6	26	8	20	28	549	0	0	1
0.258	1	2	26	9	90	28	549	0	0	0
0.258	1	2	26	9	90	28	549	0	0	1
0.259	1	15	26	10	92	28	549	0	0	0
0.259	1	15	26	10	92	28	549	0	0	1
0.26	1	9	27	1	65	28	549	0	0	0
0.26	1	9	27	1	65	28	549	0	0	1
0.261	1	10	27	2	31	28	549	0	0	0
0.261	1	10	27	2	31	28	549	0	0	1
0.262	1	14	27	3	72	28	549	0	0	0
0.262	1	14	27	3	72	28	549	0	0	1
0.263	1	1	27	4	39	28	549	0	0	0
0.263	1	1	27	4	39	28	549	0	0	1
0.264	1	5	27	5	78	28	549	0	0	0
0.264	1	5	27	5	78	28	549	0	0	1
0.265	1	4	27	6	44	28	549	0	0	0
0.265	1	4	27	6	44	28	549	0	0	1
0.266	1	11	27	7	1	28	549	0	0	0
0.266	1	11	27	7	1	28	549	0	0	1
0.267	1	8	27	8	83	28	549	0	0	0
0.267	1	8	27	8	83	28	549	0	0	1
0.268	1	7	27	9	52	28	549	0	0	0
0.268	1	7	27	9	52	28	549	0	0	1
0.269	1	3	27	10	10	28	549	0	0	0
0.269	1	3	27	10	10	28	549	0	0	1
0.27	1	13	28	1	87	28	549	0	0	0
0.27	1	13	28	1	87	28	549	0	0	1
0.271	1	12	28	2	59	28	549	0	0	0
0.271	1	12	28	2	59	28	549	0	0	1
0.272	1	6	28	3	20	28	549	0	0	0
0.272	1	6	28	3	20	28	549	0	0	1
0.273	1	2	28	4	90	28	549	0	0	0
0.273	1	2	28	4	90	28	549	0	0	1
0.274	1	15	28	5	92	28	549	0	0	0
0.274	1	15	28	5	92	28	549	0	0	1
0.275	1	9	28	6	65	28	549	0	0	0
0.275	1	9	28	6	65	28	549	0	0	1
0.276	1	10	28	7	31	28	549	0	0	0
0.276	1	10	28	7	31	28	549	0	0	1
0.277	1	14	28	8	72	28	549	0	0	0
0.277	1	14	28	8	72	28	549	0	0	1
0.278	1	1	28	9	39	28	549	0	0	0
0.278	1	1	28	9	39	28	549	0	0	1
0.279	1	5	28	10	78	28	549	0	0	0
0.279	1	5	28	10	78	28	549	0	0	1
0.28	1	4	29	1	44	28	549	0	0	0
0.28	1	4	29	1	44	28	549	0	0	1
0.281	1	11	29	2	1	28	549	0	0	0
0.281	1	11	29	2	1	28	549	0	0	1
0.282	1	8	29	3	83	28	549	0	0	0
0.282	1	8	29	3	83	28	549	0	0	1
0.283	1	7	29	4	52	28	549	0	0	0
0.283	1	7	29	4	52	28	549	0	0	1
0.284	1	3	29	5	10	28	549	0	0	0
0.284	1	3	29	5	10	28	549	0	0	1
0.285	1	13	29	6	87	28	549	0	0	0
0.285	1	13	29	6	87	28	549	0	0	1
0.286	1	12	29	7	59	28	549	0	0	0
0.286	1	12	29	7	59	28	549	0	0	1
0.287	1	6	29	8	20	28	549	0	0	0
0.287	1	6	29	8	20	28	549	0	0	1
0.288	1	2	29	9	90	28	549	0	0	0
0.288	1	2	29	9	90	28	549	0	0	1
0.289	1	15	29	10	92	28	549	0	0	0
0.289	1	15	29	10	92	28	549	0	0	1
0.29	1	9	30	1	65	28	549	0	0	0
0.29	1	9	30	1	65	28	549	0	0	1
0.291	1	10	30	2	31	28	549	0	0	0
0.291	1	10	30	2	31	28	549	0	0	1
0.292	1	14	30	3	72	28	549	0	0	0
0.292	1	14	30	3	72	28	549	0	0	1
0.293	1	1	30	4	39	28	549	0	0	0
0.293	1	1	30	4	39	28	549	0	0	1
0.294	1	5	30	5	78	28	549	0	0	0
0.294	1	5	30	5	78	28	549	0	0	1
0.295	1	4	30	6	44	28	549	0	0	0
0.295	1	4	30	6	44	28	549	0	0	1
0.296	1	11	30	7	1	28	549	0	0	0
0.296	1	11	30	7	1	28	549	0	0	1
0.297	1	8	30	8	83	28	549	0	0	0
0.297	1	8	30	8	83	28	549	0	0	1
0.298	1	7	30	9	52	28	549	0	0	0
0.298	1	7	30	9	52	28	549	0	0	1
0.299	1	3	30	10	10	28	549	0	0	0
0.299	1	3	30	10	10	28	549	0	0	1
0.3	1	13	31	1	87	28	549	0	0	0
0.3	1	13	31	1	87	28	549	0	0	1
0.301	1	12	31	2	59	28	549	0	0	0
0.301	1	12	31	2	59	28	549	0	0	1
